checkin_id	created_at	checkin_comment	rating_score	user_id	user_name	beer_id	beer_name	beer_style	beer_slug	beer_abv	beer_link	brewery_id	brewery_name	brewery_type	brewery_country	brewery_city	brewery_link	source_app	toasts_count	venue_id	venue_name	venue_country	venue_city	venue_lat	venue_lng	avg_rating	ratings_count	checkins_count
795744721	24/08/2019 06:25:42 a. m.		1.5	1279815	gruntoff	3393690	KvassKoff	Kvass	beerbeery-kvasskoff	2.0	https://untappd.com/b/beerbeery-kvasskoff/3393690	339988	Beerbeery	Home Brewery	Belarus		https://untappd.com/Beerbeerys	Untappd for iPhone - (V2)	1	8686496.0	MHBF	Беларусь	Мінск	53.915	27.57	4.11	36.0	46.0
795744322	24/08/2019 06:24:36 a. m.		2.5	1279815	gruntoff	3391944	Fermer Y	Farmhouse Ale - Other	jankybybeer-fermer-y	4.2	https://untappd.com/b/jankybybeer-fermer-y/3391944	370141	JankyByBeer	Home Brewery	Belarus		https://untappd.com/JankyByBeer	Untappd for iPhone - (V2)	0	8686496.0	MHBF	Беларусь	Мінск	53.915	27.57	3.67	33.0	40.0
795742361	24/08/2019 06:18:37 a. m.		2.0	1279815	gruntoff	3150724	МайбокБелпiва	Bock - Hell / Maibock / Lentebock	belpiva-majbokbelpiva	8.0	https://untappd.com/b/belpiva-majbokbelpiva/3150724	370787	Белпіва	Home Brewery	Belarus		https://untappd.com/Belpiva	Untappd for iPhone - (V2)	0	8686496.0	MHBF	Беларусь	Мінск	53.915	27.57	3.94	36.0	42.0
795742203	24/08/2019 06:18:07 a. m.		3.25	1279815	gruntoff	3392503	Ирландский сухой стаут	Stout - Irish Dry	vadbeer-irlandskij-suhoj-staut	10.5	https://untappd.com/b/vadbeer-irlandskij-suhoj-staut/3392503	441923	VadBeer	Home Brewery	Belarus		https://untappd.com/w/vadbeer/441923	Untappd for iPhone - (V2)	0	8686496.0	MHBF	Беларусь	Мінск	53.915	27.57	3.86	41.0	49.0
795741199	24/08/2019 06:15:10 a. m.		3.75	1279815	gruntoff	2333306	Handpan	Gruit / Ancient Herbed Ale	russelbrew-handpan	4.5	https://untappd.com/b/russelbrew-handpan/2333306	256409	RusselBrew	Home Brewery	Belarus		https://untappd.com/RusselBrew	Untappd for iPhone - (V2)	1	8686496.0	MHBF	Беларусь	Мінск	53.915	27.57	4.36	55.0	74.0
795739236	24/08/2019 06:09:09 a. m.		3.5	1279815	gruntoff	3272988	Golden Shower	Sour - Berliner Weisse	r-and-d-screw-golden-shower	2.1	https://untappd.com/b/r-and-d-screw-golden-shower/3272988	237503	R&D sCREW	Home Brewery	Belarus		https://untappd.com/RiDsCREW	Untappd for iPhone - (V2)	0	8686496.0	MHBF	Беларусь	Мінск	53.915	27.57	3.92	42.0	47.0
795737697	24/08/2019 06:04:09 a. m.		3.75	1279815	gruntoff	3393172	16. Springshake IPA	IPA - Milkshake	pahonya-hb-16-springshake-ipa	6.0	https://untappd.com/b/pahonya-hb-16-springshake-ipa/3393172	237243	Pahonya_hb	Home Brewery	Belarus	Minsk	https://untappd.com/Pahonya_hb	Untappd for iPhone - (V2)	0	8686496.0	MHBF	Беларусь	Мінск	53.915	27.57	4.13	44.0	50.0
795737449	24/08/2019 06:03:15 a. m.		4.0	1279815	gruntoff	1685252	Cider 2/16	Cider - Traditional	russelbrew-cider-2-16	7.4	https://untappd.com/b/russelbrew-cider-2-16/1685252	256409	RusselBrew	Home Brewery	Belarus		https://untappd.com/RusselBrew	Untappd for iPhone - (V2)	1	8686496.0	MHBF	Беларусь	Мінск	53.915	27.57	4.26	44.0	55.0
795735275	24/08/2019 05:55:21 a. m.		2.0	1279815	gruntoff	3393218	Sour Weiss	Wheat Beer - Witbier	hqb-sour-weiss	4.7	https://untappd.com/b/hqb-sour-weiss/3393218	438986	HQB	Home Brewery	Belarus		https://untappd.com/High_Quality_Brewering	Untappd for iPhone - (V2)	0	8686496.0	MHBF	Беларусь	Мінск	53.915	27.57	3.59	29.0	41.0
795734944	24/08/2019 05:54:06 a. m.		3.75	1279815	gruntoff	3334190	Mango IPA	IPA - New England	biirlandziya-biirlandziya-mango-ipa	8.2	https://untappd.com/b/biirlandziya-biirlandziya-mango-ipa/3334190	413062	Бiiрландзiя (Биирландзия)	Nano Brewery	Belarus		https://untappd.com/Biirlandzija	Untappd for iPhone - (V2)	0	8686496.0	MHBF	Беларусь	Мінск	53.915	27.57	3.76	26.0	28.0
795734702	24/08/2019 05:53:08 a. m.		3.5	1279815	gruntoff	3381574	BerlinHerr	Sour - Berliner Weisse	beerbeery-berlinherr	3.3	https://untappd.com/b/beerbeery-berlinherr/3381574	339988	Beerbeery	Home Brewery	Belarus		https://untappd.com/Beerbeerys	Untappd for iPhone - (V2)	1	8686496.0	MHBF	Беларусь	Мінск	53.915	27.57	4.3	47.0	55.0
795732425	24/08/2019 05:43:47 a. m.		3.75	1279815	gruntoff	3334225	Смородиновый беспредел	Farmhouse Ale - Saison	biirlandziya-biirlandziya-smorodinovyj-bespredel	7.2	https://untappd.com/b/biirlandziya-biirlandziya-smorodinovyj-bespredel/3334225	413062	Бiiрландзiя (Биирландзия)	Nano Brewery	Belarus		https://untappd.com/Biirlandzija	Untappd for iPhone - (V2)	0	8686496.0	MHBF	Беларусь	Мінск	53.915	27.57	4.29	23.0	26.0
795731977	24/08/2019 05:41:50 a. m.		3.0	1279815	gruntoff	3392280	Biirlanski Berliner Weisse (Бiiрланскi берлiнер вайсэ)	Sour - Berliner Weisse	biirlandziya-biirlandziya-biirlanski-berliner-weisse-biirlanski-berliner-vajse	3.8	https://untappd.com/b/biirlandziya-biirlandziya-biirlanski-berliner-weisse-biirlanski-berliner-vajse/3392280	413062	Бiiрландзiя (Биирландзия)	Nano Brewery	Belarus		https://untappd.com/Biirlandzija	Untappd for iPhone - (V2)	0	8686496.0	MHBF	Беларусь	Мінск	53.915	27.57	3.83	50.0	62.0
